"";"X.";"X..Year..";"X..Month..";"X..Day..";"X..temp.demain...";"prev3";"prev5"
"1";36;2010;7;6;19,65;19,5108023103335;19,2688097543353
"2";44;2010;7;14;21,66;25,1634516497671;25,2783119283663
"3";54;2010;7;24;17,23;16,15399322356;15,879094438766
"4";58;2010;7;28;16,29;17,0204986907571;17,0281897808284
"5";74;2010;8;13;17,65;17,4776459649294;17,6493225115556
"6";86;2010;8;25;22,6;18,2416648357456;18,3266441452525
"7";88;2010;8;27;15,33;18,6844732212341;18,4317344738225
"8";90;2010;8;29;12,09;14,4658971865812;14,2881370777418
"9";98;2010;9;6;16,13;15,5992531631965;15,5862118984014
"10";132;2010;10;10;8,99;12,4281912779378;12,5042348632058
"11";146;2010;10;24;6,04;8,03713557672741;7,91218595933046
"12";164;2010;11;11;13,29;6,22967246673077;5,9446382295375
"13";174;2010;11;21;3,27;3,75144173154357;3,9350475890819
"14";178;2010;11;25;0,45;2,99172533973398;3,09427091023573
"15";182;2010;11;29;-2,69;0,132631341205579;-0,0621989833825391
"16";186;2010;12;3;-1,88;-2,31247850926448;-1,98609800919606
"17";188;2010;12;5;2,61;0,18851068196867;0,508771975844199
"18";194;2010;12;11;2,64;3,72165275975135;3,12024479508595
"19";200;2010;12;17;-2,31;-1,1375104087065;-1,44932420226752
"20";202;2010;12;19;6,71;1,98294613378187;1,66626703183263
"21";214;2010;12;31;0,12;0,739505941050647;0,993357805538723
"22";218;2011;1;4;-0,21;-0,647696446861981;-0,312727018842918
"23";234;2011;1;20;-0,33;1,82918694402523;1,78292507471634
"24";258;2011;2;13;7,64;7,45526005526076;7,69341596252756
"25";320;2011;4;16;11,68;11,3718914134683;11,6401034819187
"26";342;2011;5;8;18,41;19,4406515970426;19,4283297006789
"27";352;2011;5;18;18,54;18,7511727648165;18,8890270159716
"28";354;2011;5;20;19,43;19,0180867250687;19,0243705268736
"29";358;2011;5;24;16,61;19,7714823150573;19,4904526286136
"30";380;2011;6;15;18,24;18,587939566545;18,543469661828
"31";382;2011;6;17;15,94;18,5815889441415;18,7019143977737
"32";386;2011;6;21;20,37;21,482622389386;21,4412281198863
"33";400;2011;7;5;20,75;21,6491498205193;21,5994397997498
"34";420;2011;7;25;16,75;15,9603431582828;16,0851586192391
"35";426;2011;7;31;17,5;17,0657544860221;16,9041870163545
"36";434;2011;8;8;14,6;15,3879342834875;15,1269205667146
"37";440;2011;8;14;19,81;20,0825712540439;20,1639441931647
"38";444;2011;8;18;24,66;24,4802269104775;24,6856179427019
"39";450;2011;8;24;23,31;24,1361070618692;24,2454008064856
"40";458;2011;9;1;22,31;19,5655500026617;19,7832742177219
"41";484;2011;9;27;17,56;19,5534854917018;19,6741211996618
"42";502;2011;10;15;9,35;8,48878002349845;8,60442583395531
"43";510;2011;10;23;7,8;7,86761957792748;8,20926224591436
"44";516;2011;10;29;14,28;12,5850538081853;12,8873069967314
"45";520;2011;11;2;11,41;11,2492688936664;11,5124697138191
"46";530;2011;11;12;6,46;7,90599330673461;8,17614323845076
"47";540;2011;11;22;5,74;6,27483705660226;6,59705353970985
"48";558;2011;12;10;5,71;5,89408446779323;5,94928959666314
"49";564;2011;12;16;2,57;5,35796387999488;4,34049368668357
"50";578;2011;12;30;6,59;3,83028064412219;3,15684781217691
"51";580;2012;1;1;9,06;10,5435499234679;10,2528921726936
"52";582;2012;1;3;7,09;6,14488691775398;5,75079623078249
"53";598;2012;1;19;6,77;6,64382428725269;6,30020601402129
"54";604;2012;1;25;4,49;5,07700804324482;5,3250968685514
"55";608;2012;1;29;0,68;3,1341963432046;3,4529934155639
"56";618;2012;2;8;-5,02;-2,81317956238989;-2,84946081754615
"57";620;2012;2;10;-5,25;-3,06525069743435;-3,04205451908116
"58";630;2012;2;20;0,12;2,84814599125348;2,8468080714997
"59";646;2012;3;7;5,1;6,41607155629307;6,40088058571523
"60";650;2012;3;11;7,55;7,75138196811173;7,88448218184043
"61";654;2012;3;15;12,38;11,8323490639474;12,1137552125493
"62";676;2012;4;6;9,07;10,2040379313121;10,4353879348981
"63";680;2012;4;10;9,35;11,802545149691;11,9570553281129
"64";686;2012;4;16;6,64;7,51838253547341;7,35235907623296
"65";702;2012;5;2;13,59;13,8493117648659;13,8031889519429
"66";730;2012;5;30;19,23;20,0821126352911;19,9900192345311
"67";734;2012;6;3;15,46;17,4420339050441;17,3479403937806
"68";758;2012;6;27;23,55;20,860261266158;20,7699783964003
"69";762;2012;7;1;15,7;15,7306093913104;15,5684760302727
"70";770;2012;7;9;19,56;19,1798163126494;19,0892006968152
"71";786;2012;7;25;24,28;23,2409483361637;23,2444535564236
"72";790;2012;7;29;18,22;19,2042661158405;18,9959358771287
"73";824;2012;9;1;15,09;12,7705121501812;12,6740388451189
"74";828;2012;9;5;16,61;17,9308682736254;17,8837104255573
"75";830;2012;9;7;19,14;17,568855006713;17,5454571932166
"76";840;2012;9;17;18,19;18,1327205677397;18,2669146946576
"77";874;2012;10;21;17,31;15,338681829725;15,7442014369762
"78";888;2012;11;4;8,58;10,2821586053297;10,4790191977014
"79";894;2012;11;10;9,38;9,4932144295688;9,7462205500638
"80";908;2012;11;24;10,65;9,186224671418;9,51825829079917
"81";924;2012;12;10;-0,75;2,25450673756605;1,43837818250913
"82";928;2012;12;14;7,54;2,65119340410482;2,862231297389
"83";930;2012;12;16;7,24;7,10869496997388;6,52376198443648
"84";944;2012;12;30;5,12;7,53470867268404;7,08009620970457
"85";962;2013;1;17;-1,75;-1,50711816204303;-1,6858971094223
"86";966;2013;1;21;2,77;1,84171124488155;2,0574140664025
"87";976;2013;1;31;9,98;9,20687326860013;8,74064044933139
"88";980;2013;2;4;6,72;5,7824632553049;4,95336159644541
"89";986;2013;2;10;1,23;-1,63122240981498;-1,52042759390076
"90";992;2013;2;16;3,07;4,54035729017048;4,73245610295299
"91";996;2013;2;20;0,33;3,89615826720098;4,09119160993531
"92";1016;2013;3;12;2,03;5,94139960170246;6,21444763032966
"93";1020;2013;3;16;6,11;4,27854109122962;4,38857012769421
"94";1022;2013;3;18;6,37;4,3825433369599;4,7138781988527
"95";1024;2013;3;20;6,48;6,03576117381354;6,02573661837719
"96";1046;2013;4;11;11,43;12,5873892191078;12,3394913075268
"97";1052;2013;4;17;17,57;19,6336986729258;19,7942368835033
"98";1056;2013;4;21;11,96;9,49330262838525;9,46493386130233
"99";1066;2013;5;1;15,61;14,7234181002398;14,524083655621
"100";1068;2013;5;3;13,59;12,6070633858205;12,5218164219222
"101";1080;2013;5;15;11,69;13,9935786881138;14,1739005387655
"102";1092;2013;5;27;14,77;14,3576270416757;14,1998963031304
"103";1100;2013;6;4;18;15,5422539154358;15,6700863688366
"104";1116;2013;6;20;18,98;20,1498924953089;19,9504426436173
"105";1130;2013;7;4;20,65;18,3279700966802;18,0461226843448
"106";1132;2013;7;6;22,27;22,5663920948495;22,5246109285009
"107";1142;2013;7;16;23,59;22,9189657432915;22,9936688301378
"108";1150;2013;7;24;24,98;23,4356443083407;23,4772317885688
"109";1162;2013;8;5;25,8;26,0854176534868;26,3005859968248
"110";1164;2013;8;7;19,56;20,4657800130322;20,495108889566
"111";1174;2013;8;17;24,15;23,4172381870946;23,4365058208781
"112";1198;2013;9;10;13,52;14,3936688102575;14,1274800689715
"113";1210;2013;9;22;16,56;16,802541955801;16,7235563414069
"114";1220;2013;10;2;15,5;14,4383567667502;14,8344332354985
"115";1222;2013;10;4;17,78;17,7043768551041;17,9592665063704
"116";1240;2013;10;22;14,67;15,0972882207765;15,3646742861614
"117";1254;2013;11;5;12,62;7,79194113214459;7,78668515363428
"118";1258;2013;11;9;8,07;9,97251198618714;9,72676210696755
"119";1272;2013;11;23;4,93;3,87132583165811;3,9670748597481
"120";1292;2013;12;13;2,83;4,20876274904029;4,53200746358854
